Country_Region,Last_Update,Confirmed,Deaths
Malaysia,2022-12-06 04:21:03,18845,194
Malaysia,2022-12-06 04:21:03,305280,2051
Malaysia,2022-12-06 04:21:03,405494,3195
Malaysia,2022-12-06 04:21:03,321379,1776
Malaysia,2022-12-06 04:21:03,1536397,10925
Malaysia,2022-12-06 04:21:03,132285,894
Malaysia,2022-12-06 04:21:03,0,0
Malaysia,2022-12-06 04:21:03,464010,2846
Malaysia,2022-12-06 04:21:03,22782,157
Malaysia,2022-12-06 04:21:03,31470,30
Maldives,2022-12-06 04:21:03,185632,311
Mali,2022-12-06 04:21:03,32760,742
Malta,2022-12-06 04:21:03,115891,809
Marshall Islands,2022-12-06 04:21:03,15541,17
Mauritania,2022-12-06 04:21:03,63421,997
Mauritius,2022-12-06 04:21:03,281163,1036
Mexico,2022-12-06 04:21:03,84845,3591
Mexico,2022-12-06 04:21:03,167229,12438
Mexico,2022-12-06 04:21:03,125418,2765
Mexico,2022-12-06 04:21:03,43394,2283
Mexico,2022-12-06 04:21:03,53346,2436
Mexico,2022-12-06 04:21:03,167394,10154
Mexico,2022-12-06 04:21:03,1757820,43625
Mexico,2022-12-06 04:21:03,180967,8967
Mexico,2022-12-06 04:21:03,67602,2243
Mexico,2022-12-06 04:21:03,79402,3675
Mexico,2022-12-06 04:21:03,352588,15107
Mexico,2022-12-06 04:21:03,116273,6852
Mexico,2022-12-06 04:21:03,120759,8558
Mexico,2022-12-06 04:21:03,285543,19997
Mexico,2022-12-06 04:21:03,705942,47936
Mexico,2022-12-06 04:21:03,110208,8977
Mexico,2022-12-06 04:21:03,91977,5344
Mexico,2022-12-06 04:21:03,72318,3249
Mexico,2022-12-06 04:21:03,401373,15352
Mexico,2022-12-06 04:21:03,150035,6355
Mexico,2022-12-06 04:21:03,209335,16661
Mexico,2022-12-06 04:21:03,177733,6349
Mexico,2022-12-06 04:21:03,114217,4435
Mexico,2022-12-06 04:21:03,242686,7616
Mexico,2022-12-06 04:21:03,176951,9925
Mexico,2022-12-06 04:21:03,196633,10301
Mexico,2022-12-06 04:21:03,214056,6133
Mexico,2022-12-06 04:21:03,178061,8217
Mexico,2022-12-06 04:21:03,56589,3124
Mexico,2022-12-06 04:21:03,0,0
Mexico,2022-12-06 04:21:03,225143,17044
Mexico,2022-12-06 04:21:03,139492,6954
Mexico,2022-12-06 04:21:03,80080,3929
Micronesia,2022-12-06 04:21:03,22203,58
Moldova,2022-12-06 04:21:03,595073,11918
Monaco,2022-12-06 04:21:03,15598,65
Mongolia,2022-12-06 04:21:03,993372,2135
Montenegro,2022-12-06 04:21:03,283844,2790
Morocco,2022-12-06 04:21:03,1269391,16285
Mozambique,2022-12-06 04:21:03,230624,2226
Namibia,2022-12-06 04:21:03,169946,4080
Nauru,2022-12-06 04:21:03,4621,1
Nepal,2022-12-06 04:21:03,1000911,12019
Netherlands,2022-12-06 04:21:03,43641,236
Netherlands,2022-12-06 04:21:03,11555,38
Netherlands,2022-12-06 04:21:03,45986,295
Netherlands,2022-12-06 04:21:03,214941,464
Netherlands,2022-12-06 04:21:03,194619,339
Netherlands,2022-12-06 04:21:03,291326,623
Netherlands,2022-12-06 04:21:03,1045422,2942
Netherlands,2022-12-06 04:21:03,262477,365
